Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
I do't have any idea about what uterine fibroid is,"Uterine fibroids are abnormal growths of muscle tissue that form in (or on) the walls of the uterus. Fibroids are benign (not harmful/life threatening), but can cause symptoms such as irregular vaginal bleeding and pelvic pain. 

Uterine fibroids are very common. About 3 in 4 women may have them at some point in their lives. They are most common during the reproductive years, and are more likely to occur in people of African ancestry. Uterine fibroids most often cause no symptoms at all and often shrink after menopause. In other cases, untreated fibroids may lead to problems such as heavy bleeding, anemia, pelvic pain or pressure, fertility changes, and complications during pregnancy. Symptoms depend on the size, location, and number of fibroids.",mujhe is baray mein koi andaza nahi hai ke uterine fibroid kya hai .,"uterine fibroids pathon ke bafton ki ghair mamooli nashonuma hain jo reham ki dewaron mein ( ya is par ) banti hain. fibroidssomi hotay hain ( zindagi ke liye nuqsaan da nahi ), lekin yeh andaam nihani/vagina se be qaida khoon behna aur shoroni dard jaisi alamaat ka sabab ban satke hain .
 
 uterine fibroids bohat aam hain. taqreeban 4 mein se 3 khawateen ko apni zindagi mein kisi nah kisi mauqa par yeh ho sakta hai. woh toleedi saloon ke douran sab se ziyada aam hain, aur africi nasal ke logon mein honay ka ziyada imkaan hai. uterine fibroids aksar koi alamaat peda nahi karte aur aksar rajonooti ke baad suker jatay hain. doosri sooraton mein, ilaaj nah kiye jane walay fibroidski wajah se bohat ziyada khoon behna, khoon ki kami, shoroni mein dard ya dabao, zarkhaizi mein tabdeeli, aur hamal ke douran paichidgiyan peda ho sakti hain. alamaat ka inhisaar fibroidske size, maqam aur tadaad par hota hai ."
I want to educate myself about periods,"Sure, how can I help?",mein apne aap ko mahvari ke baray mein taleem dena chahti hon .,"bilkul, mein kis terhan madad kar sakta hon ?"
What are its symptoms,"Some of the most common symptoms of uterine fibroids are:

Periods that are heavy, long, and/or painful
Irregular bleeding 
Pelvic pressure or pain 
Frequent urination and difficulty emptying the bladder
Constipation 
Difficulty getting pregnant or carrying to term
In rare cases, uterine fibroids can become very large, twisted, or infected. These situations can create intense symptoms, and may require immediate medical treatment.

Some studies show that pregnancy may cause fibroids to grow slightly bigger in up to 1 in 3 people. This might make some symptoms more noticeable. The most common complication of uterine fibroids in pregnancy is pain, usually felt in the second and third trimesters",is ki alamaat kya hain .,"uterine fibroids ki kuch aam alamaat yeh hain :
 
 adwaar jo bhaari, taweel, ya takleef da hotay hain .
 be tarteeb khoon behna
 shoroni dabao ya dard
 baar baar pishaab aana aur masanay ko khaali karne mein dushwari
 qabz
 haamla honay ya muddat tak le jane mein dushwari
 Shaz o nadir sooraton mein, uterine fibroids bohat barray, muray hue, ya mutasir ho satke hain. yeh halaat shadeed alamaat peda kar satke hain, aur fori tibbi ilaaj ki zaroorat par sakti hai .
 
 kuch mtalaat se pata chalta hai ke hamal 3 mein se 1 afraad mein fibroidsko thora sa bara karne ka sabab ban sakta hai. yeh kuch alamaat ko ziyada qabil tawajah bana sakta hai. hamal mein uterine fibroids ki sab se aam paicheedgi dard hai, jo aam tor par dosray aur teesray sah mahi mein mehsoos hota hai ."
Why uterine fibroids happen,"Uterine fibroids occur when muscle cells in the uterus multiply too many times. As cells multiply, lumps of various shapes and sizes are formed. They can be numerous or few—some people might only have one. These lumps can grow on the inner and outer surfaces of the uterus, as well as within the uterine wall.

Research shows the hormones estrogen and progesterone play a role in the growth of uterine fibroids. This is probably why fibroids tend to shrink after menopause, when production of these hormones decreases.",uterine fibroids kyun hotay hain .,"uterine fibroids is waqt hota hai jab bacha daani/uterus mein pathon ke khaliye kayi gina barh jatay hain. jaisay jaisay khaliye barhatay hain, mukhtalif ashkaal aur size ki ganthin banti hain. woh mutadid ya kam ho satke hain — kuch logon ke paas sirf aik ho sakta hai. yeh ganth bacha daani/uterus ki androoni aur bairooni sthon ke sath sath reham ki deewar ke andar bhi barh sakti hai .
 
 tehqeeq se pata chalta hai ke hormone estrogen aur progestrone uterin fibroidski nashonuma mein kirdaar ada karte hain. shayad yahi wajah hai ke rajonooti ke baad jab un hormones ki pedawar kam ho jati hai to fibroids suker jatay hain ."
So are some people more likely to develop uterine fibroids than others?,"Some people are more likely than others to develop uterine fibroids, and in fact fibroids may be inherited genetically. This means someone is more likely to develop fibroids if a family member has had them. People of African ancestry are significantly more likely to develop them. If you have hypertension or polycystic ovary syndrome, then you are more likely to have uterine fibroids. They are more common in people who have an earlier age at first menstruation (menarche), and people who have not given birth, though this may be because women with fibroids may have difficulty conceiving. Maintaining a diet high in red meat consumption may also increase the risk of uterine fibroids, as may beer consumption.",to kya kuch logon ko uterine fibroids honay ka imkaan doosron ke muqablay mein ziyada hota hai ?,"kuch logon mein uterine fibroids peda honay ka imkaan doosron ke muqablay mein ziyada hota hai, aur haqeeqat mein fibroids jeneati tor par waarsat mein mil satke hain. is ka matlab hai ke agar kisi khandan ke kisi fard ko un mein mubtala ho to kisi ko fibroidshonay ka ziyada imkaan hota hai. africi nasal ke logon mein un ki nashonuma ka ziyada imkaan hai. agar aap ko high blood pressure ya poli stick ovary sndrom hai to aap ko uterin fibroids honay ka ziyada imkaan hai. yeh un logon mein ziyada aam hain jin ki pehli haiz se pehlay ki Umar hoti hai, aur jin logon ne bachay ko janam nahi diya hai, halaank is ki wajah yeh ho sakti hai ke fibroidswali khawateen ko haamla honay mein dushwari ho sakti hai. surkh gosht ki khapat mein ziyada ghiza ko barqarar rakhnay se uterine fibroids ka khatrah bhi barh sakta hai, jaisa ke bear ka istemaal bhi ho sakta hai ."
"Oh, so are there different types of fibroids?","Yes! There are different types of fibroids which can create different symptoms. Fibroids embedded within the uterine wall (intramural fibroids) can change the shape of the uterus, which may cause changes in fertility. Fibroids that project into the inside of the uterus (submucosal fibroids) may also cause difficulty in becoming or staying pregnant","oh, to kya fibroids ki mukhtalif aqsam hain ?","jee haan! fibroids ki mukhtalif kasmain hain jo mukhtalif alamaat peda kar sakti hain. reham ki deewar ke andar sarayat shuda fibroids( Intramal fibroids) bacha daani/uterus ki shakal ko tabdeel kar satke hain, jo zarkhaizi mein tabdeeli ka sabab ban sakta hai. fibroids jo bacha daani/uterus ke andar phailtay hain ( sab muosal fibroids) bhi haamla honay ya rehne mein dushwari ka baais ban satke hain ."
Why do you need to get checked for uterine fibroids,"Uterine fibroids are generally harmless and often go away on their own. When symptoms occur, however, untreated fibroids can interfere with a person’s quality of life and may lead to complications such as anemia (a condition when the body doesn’t have enough healthy red blood cells to function properly). This can happen when uterine fibroids cause heavy bleeding.

Uterine fibroids may also interfere with the probability of becoming pregnant, and may increase the chance of miscarriage, but more research is needed here. In these cases, treatment can help people become and stay pregnant.

Rarely, uterine fibroids can become very large, twisted, or infected. These situations can create symptoms that are intense, and may require immediate medical treatment, hence it is important to get them checked.",aap ko uterine fibroids ke liye check karwanay ki zaroorat kyun hai ?,"Uterine fibroids aam tor par be zarrar hotay hain aur aksar khud hi chalay jatay hain. jab alamaat zahir hotay hain, taham, ilaaj nah kiye jane walay fibroidskisi shakhs ke mayarِ zindagi mein mudakhlat kar satke hain aur khoon ki kami jaisi paichidgiyan peda kar satke hain ( aisi haalat jab jism mein khoon ke surkh khaliye munasib tareeqay se kaam karne ke liye kaafi nahi hotay ). yeh is waqt ho sakta hai jab uterine fibroids se bohat ziyada khoon beh raha ho .
 
 uterine fibroids haamla honay ke imkanaat mein bhi mudakhlat kar satke hain, aur isqaat hamal ke imkanaat ko barha satke hain, lekin yahan mazeed tehqeeq ki zaroorat hai. un sooraton mein, ilaaj se logon ko haamla honay aur rehne mein madad mil sakti hai .
 
 Shaz o nadir hi, uterine fibroids bohat barray, muray hue, ya mutasir ho satke hain. yeh halaat aisi alamaat peda kar satke hain jo shadeed hain, aur un ke liye fori tibbi ilaaj ki zaroorat par sakti hai, is liye un ki jaanch karana zaroori hai ."
How are uterine fibroids diagnosed,"A healthcare provider will probably ask questions about your symptoms, medical, and menstrual history. Some uterine fibroids are diagnosed with a physical exam. Other diagnostic methods may include a pelvic ultrasound (sonogram), an MRI or a sonohysterogram (an ultrasound performed after the uterus is filled with fluid)",uterine fibroids ki tashkhees kaisay ki jati hai .,"sehat ki dekh bhaal faraham karne wala mumkina tor par aap ki alamaat, tibbi, aur mahvari ki tareekh ke baray mein sawalaat pouchye ga. kuch uterine fibroids ki tashkhees jismani imthehaan se hoti hai. deegar tshkhisi tareeqon mein aik sharooni altrasaond ( sonugram ), aik am are aayi ya sonuastrogram ( aik altrasaond jo bacha daani/uterus ke seyal/fluid se bhar jane ke baad injaam diya jata hai ) shaamil ho satke hain ."
What can I do about uterine fibroids,"You and your healthcare provider may choose to leave fibroids with mild symptoms untreated. Tracking your symptoms can then help you know if your fibroids are changing, and at what point a treatment plan might be helpful. When fibroids do become problematic, there are many different options for managing and treating them, and for preventing their future formation including medications, lifestyle changes, non-surgival procedures and surgery. Please let me know if you want me to get into the detail of any of these.",mein uterine fibroids ke baray mein kya kar sakti hon ?,"aap aur aap ka sehat ki dekh bhaal faraham karne wala halki alamaat ke sath fibroids ko baghair ilaaj ke chorney ka intikhab kar sakta hai. aap ki alamaat ka suraagh laganay se aap ko yeh jan-nay mein madad mil sakti hai ke aaya aap ke fibroids tabdeel ho rahay hain, aur kis waqt ilaaj ka mansoobah madadgaar saabit ho sakta hai. jab fibroids masail ka shikaar ho jatay hain, to un ke intizam aur ilaaj ke liye aur mustaqbil mein un ki tashkeel ko roknay ke liye bohat se ikhtiyarat hotay hain jin mein duwaein, tarz zindagi mein tabdeelian, jarrahi nah karne ke tareeqa car aur surgery shaamil hain. barah karam mujhe bitayen ke kya aap chahtay hain ke mein un mein se kisi ki tafseel mein jaoon ."
Please tell more about how medications can help with my uterine fibroids,"In some cases, hormonal medications are prescribed to treat uterine fibroids. These include Selective Progesterone Receptor Modulators (SPRM) which change the effect of progesterone in the body, and Gonadotropin Releasing Hormone (GnRH) Agonists which block the body’s production of both progesterone and estrogen. These medications have been shown to lessen the size and number of uterine fibroids over time in people of reproductive age. Would you like to know other solutions too?",barah karam is baray mein mazeed bitayen ke duwaein mere reham ke fibroids mein kaisay madad kar sakti hain .,"baaz sooraton mein, uterine fibroids ke ilaaj ke liye hormonal adwiyaat tajweez ki jati hain. un mein Selective Progesterone Receptor Modulators ( sprm ) shaamil hain jo jism mein progestronee ke assar ko tabdeel karte hain, aur Gonadotropin rilizng hormone ( gnrh ) agonists jo jism mein progestronee aur estrogen dono ki pedawar ko roktay hain. yeh adwiyaat toleedi Umar ke logon mein waqt ke sath sath uterine fibroids ke size aur tadaad ko kam karti dikhayi deti hain. kya aap dosray hal bhi janna chahain ge ?"
"Yes, please give details of non-surgical procedures ",Some symptomatic uterine fibroids may be destroyed through non-invasive procedures like uterine artery embolization and radiofrequency myolysis. These procedures cut off blood supply to fibroids. MRI-guided focused ultrasound surgery (FUS) is an example of a newer technique that uses soundwaves to destroy fibroids.,"haan, barah karam ghair jarrahi ke tareeqa car ki tafseelaat den .",kuch allamti uterine fibroids ghair hamla aawar tareeqa car jaisay uterine artery embolization aur radiofrequency myolysis ke zariye tabah ho satke hain. yeh tareeqa car fibroids ko khoon ki farahmi kaat dete hain. am are aayi guided focused altrasaond surgery ( fus ) aik nai taknik ki aik misaal hai jo fibroids ko tabah karne ke liye aawaz ki lehron ka istemaal karti hai .
"Yes, please tell me about surgical options","Sure, Uterine fibroids are sometimes treated with minimally invasive surgical procedures, via the abdomen or pelvis. Some cases of fibroids may be treated with a procedure called an abdominal myomectomy, in which problematic fibroids are surgically removed. In severe cases, a hysterectomy, or a removal of the uterus, may be performed. Please let me know if you want to how lifestyle changes can affect uterine fibroids. ","haan, barah karam mujhe jarrahi ke ikhtiyarat ke baray mein bitayen","yakeeni tor par, uterine fibroids ka ilaaj baaz auqaat pait ya shuruni ke zariye kam se kam hamla aawar jarrahi ke tareeqa car se kya jata hai. fibroids ke kuch mamlaat ka ilaaj pait ke mayomaktomi ke tareeqa car se kya ja sakta hai, jis mein pareshani walay fibroids ko jarrahi se hata diya jata hai. shadeed halaton mein, histrayuktomi, ya bacha daani/uterus ko hatana, kya ja sakta hai. barah karam mujhe bitayen ke agar aap yeh janna chahtay hain ke tarz zindagi mein tabdeeli uterine fibroids ko kis terhan mutasir kar sakti hain ."
"Yes, please tell me how I can make lifestyle changes to work on my uterine fibroids","Maintaining a healthy weight may help lessen the occurrence uterine fibroids. Getting enough exercise and eating a balanced diet may also help with this. Specifically, a diet low in red meat and high in green vegetables may help to lessen the prevalence and severity of fibroids in some people.","haan, barah karam mujhe bitayen ke mein –apneuterine fibroids par kaam karne ke liye tarz zindagi mein kaisay tabdeeli laa sakti hon .","sehat mand wazan ko barqarar rakhnay se uterine fibroids ki mojoodgi ko kam karne mein madad mil sakti hai. kaafi werzish karna aur mutawazan ghiza khanay se bhi is mein madad mil sakti hai. khaas tor par, surkh gosht mein kam ghiza aur sabz sabzian ziyada khanay se kuch logon mein fibroids ke phelao aur shiddat ko kam karne mein madad mil sakti hai ."
No,Do you have any other questions from me?,nahi,kya aap ko mujh se koi aur sawal hai ?
"No, bye","Take care, bye","nahi, ’alvidah’",apna khayaal rakhna
I  might have underactive thyroid. Can that cause heacy periods?,"There are several mechanisms by which an underactive thyroid can make periods heavier:

Without sufficient thyroid hormone, your ovaries may not be able to make enough of the flow-decreasing hormone progesterone.
Without sufficient thyroid hormone, you may not make enough of the coagulation factors you need to prevent heavy bleeding.
Without sufficient thyroid hormone, you make less of the estrogen-binding protein SHBG and so are exposed to more estrogen.
If your healthcare provider discovers that you have an underactive thyroid, then your best treatment for heavy periods may be to take thyroid hormone",ho sakta hai mujhe ghair fa-aal thyroid hai. kya yeh shadeed adwaar ka sabab ban sakta hai ?,"aisay kayi mikanzm hain jin ke zariye aik ghair fa-aal thyroid periods ko bhaari bana sakta hai :
 
 kaafi thyroid hormone ke baghair, aap ke beza daani/ovary bahao mein kami ke hormone  ko kaafi miqdaar mein bananay ke qabil nahi ho saktay hain .
 kaafi thyroid hormone ke baghair, aap bohat ziyada khoon behnay se roknay ke liye jamnay walay awamil ko kaafi nahi bana satke .
 kaafi thyroid hormone ke baghair, aap estrogen binding protein shbg kam karte hain aur isi terhan ziyada estrogen ka saamna karna parta hai .
 agar aap ke sehat ki dekh bhaal faraham karne walay ko pata chalta hai ke aap ke paas aik ghair fa-aal thyroid hai, to bhaari adwaar ke liye aap ka behtareen ilaaj thyroid hormone lena ho sakta hai ."
Our village ladies used to share natural rememdies for everything. Are there any for PCOS,"PCOS is made worse by high blood sugar and insulin, so one of the best treatments is to stop eating sugary foods such as dessert, fruit juice and sweetened yogurt. The nutritional supplements magnesium, berberine and inositol can help to regulate blood sugar and may relieve symptoms of PCOS.",hamaray gaon ki khawateen har cheez ke liye qudrati ilaaj bant-ti theen. kya pcos ke liye koi hai ?,"PCOS high blood sugar aur insoline ki wajah se badter ho jata hai, is liye behtareen ilaaj mein se aik yeh hai ke meethay, phalon ka ras aur meetha dahi jaisi meethi gazaiye khana band kar den. ghizai supplements mignishim, barirein aur blood sugar ko control karne mein madad kar satke hain aur pcos ki alamaat ko daur kar satke hain ."
Can you please explain what exactly is Functional Hypothalamic Amenorrhea (FHA),"Amenorrhea is the Latin word for lack of periods. Hypothalamic amenorrhea simply means lack of periods because of your hypothalamus (your brain’s hormone command center). It’s not that anything is wrong with your hypothalamus, exactly. It has simply stopped producing a hormone required for menstruation (GnRH). This can happen in response to things like emotional stress, or not eating enough",kya aap barah karam wazahat kar satke hain ke functional Hypothalamic Amenorrhea ( fha ) kya hai ?,"amenorrhea lateeni lafz hai jo mahvari ki kami ke liye hai. hypothalamic amenorrhea ka seedha matlab hai aap ke hypothalmic ( aap ke dimagh ke hormone command center ) ki wajah se mahvari ki kami. aisa nahi hai ke aap ke hypothalmic mein kuch bhi ghalat hai, bilkul. is ne haiz ( gnrh ) ke liye darkaar hormone ki pedawar band kar di hai. yeh jazbati tanao, ya kaafi nah khanay jaisi cheezon ke jawab mein ho sakta hai ."
What are natural remedies for FHA (Functional hypothalamic amenorrhea),"Convince your hypothalamus that all is well and it’s okay to have periods again. To do that, you might need to reduce stress and/or gain some body fat. The herbal medicine ashwagandha (Withania somnifera) helps to regulate the body’s stress response, and so can be helpful for hypothalamic amenorrhea.",FHA ( functional Hypothalamic Amenorrhea ) ke qudrati ilaaj kya hain,"–apne hypothalamus ko qaail karen ke sab theek hai aur dobarah mahvari aana theek hai. aisa karne ke liye, aap ko tanao ko kam karne aur jism mein kuch charbi haasil karne ki zaroorat par sakti hai. jari bootion ki dawai ashwagandha (Withania somnifera) jism ke tanao ke rad-e-amal ko munazzam karne mein madad karti hai, aur isi terhan hypothalamic amenorrhea ke liye madadgaar saabit ho sakti hai ."
What is the Naturopathic Treatment for heavy periods,"You can promote the normal detoxification of estrogen by maintaining healthy intestinal bacteria. Bacteria benefit from vegetables, probiotics, and from avoiding the unnecessary use of antibiotics. Another way to reduce estrogen is to take a phytonutrient derived from broccoli called DIM (diindolylmethane)",bhaari haiz ke liye Naturopathic ilaaj kya hai ?,"aap sehat mand anton ke bacteria ko barqarar rakh kar estrogen ke aam sm rubai ko farogh day satke hain. bacteria sabzion, pribiotics aur anti biotics ke ghair zaroori istemaal se bachney se faida uthatay hain. estrogen ko kam karne ka aik aur tareeqa yeh hai ke broccoli se akhaz kardah phytonutrient liya jaye jisay dim ( diindolylmethane ) kehte hain ."
Are there any natural remedies for painful periods,"Yes, there are! Standard period pain responds well to natural supplements such as zinc, turmeric and magnesium. Supplements work gently and gradually, so they must be taken every day throughout the month — not just during your period.",kya dard naak haiz ke liye koi qudrati ilaaj hai ?,"haan wahan hain! mayaari muddat ka dard qudrati supplements jaisay zinc, haldi aur magnesium ko achi terhan se jawab deta hai.supplements aahista aur batadreej kaam karte hain, is liye inhen poooray mahinay mein har roz lena chahiye — nah sirf aap ki haiz ke douran ."
Are there any natural remedies for PMS?,"Yes, there are! PMS responds very well to magnesium. In some people, magnesium deficiency may actually be the main cause of PMS. PMS also responds well to the herbal medicine* Vitex agnus-castus",kya pms ke liye koi qudrati ilaaj hain ?,"haan wahan hain! pms magnesium ko bohat acha jawab deta hai. kuch logon mein, mignishim ki kami darasal pms ki bunyadi wajah ho sakti hai. pi am s jari bootion ki dawai * white eggs kasts ko bhi acha jawab deta hai ."
Am I annoying you?,"Not at al, in fact, it is good to be self-aware of what your body is going through. Do you have any more questions for me?",kya mein aap ko pareshan kar rahi hon ?,"bilkul nahi, dar haqeeqat, aap ka jism kya guzar raha hai is se khud aagah rehna acha hai. kya aap ke paas mere liye mazeed sawalaat hain ?"
Yes. Does stress play a part in how my reproductive system works biologically?,"Yes, it does! Stress activates a hormonal pathway in the body called the hypothalamic-pituitary-adrenal (HPA) axis. Activation of the HPA axis is associated with increased levels of cortisol and corticotropin-releasing hormone (CRH). The HPA axis, cortisol, and CRH help control stress response in the body. CRH and cortisol release can suppress normal levels of reproductive hormones, potentially leading to abnormal ovulation, anovulation (i.e. no ovulation), or amenorrhea (i.e. absence of menstruation). Furthermore, abnormal levels of CRH in reproductive tissue have been associated with negative pregnancy outcomes, such as preterm birth",jee haan. kya tanao is mein kirdaar ada karta hai ke mera toleedi nizaam/reproductive system hayatiati tor par kaisay kaam karta hai ?,"haan yeh karta hai! tanao jism mein aik hormonal rastay ko chaalo karta hai jisay hypothalamic-pituitary-adrenal( hpa ) mehwar kehte hain. hpa mehwar ko chaalo karna coretesol aur corticrotopin jari karne walay hormone ( crh ) ki barhti hui satah se wabasta hai. hpa mehwar, coretesol, aur crh jism mein tanao ke rad-e-amal ko control karne mein madad karte hain. crh aur coretesol ka ikhraj toleedi hormones ki aam satah ko daba sakta hai, jo mumkina tor par ghair mamooli beza daani/ovary, ovulation ( yani beza nah honay ), ya amenorrhea ( yani mahvari ki Adam mojoodgi ) ka baais bantaa hai. mazeed bar-aan, toleedi bafton mein crh ki ghair mamooli satah ko hamal ke manfi nataij se munsalik kya gaya hai, jaisay qabal az waqt paidaiesh"
 Can my daily life stresses affect how long I get my period?,"There is a possibility that daily life stress affects the length of your cycle. One study of stress in female nurses found associations between high stress and both anovulation and longer cycles, though these findings may be in part due to rotating shift work (working nights), which is common for nurses. Conversely, high stress jobs have also been associated with shorter cycles. Differences in levels and length of stress exposure could cause people’s bodies to respond in different ways. For example, in one study, perimenopausal (approaching menopause) people with high stress were no more likely to have altered cycles than low stress people after one year; however, high stress was linked to shorter menstrual cycles after two years, indicating that symptoms may not present immediately.",kya meri roz marrah ki zindagi ke tanao is baat par assar andaaz ho satke hain ke mujhe apni mahvari kitni der tak aati hai ?,"is baat ka imkaan hai ke rozana ki zindagi ka tanao aap ke cycle ki lambai ko mutasir karta hai. khawateen narson mein tanao ke aik mutalay mein ziyada tanao aur lambay chakkar dono ke darmiyan wabastagi payi gayi, halaank yeh nataij aik hissa mein ghoomnay wali shift work ( kaam ki raton ) ki wajah se ho satke hain, jo narson ke liye aam hai. is ke bar aks, ziyada tanao wali mulaazmaten bhi chhootey chakron se wabasta hain. tanao ki numayesh ki satah aur lambai mein farq logon ke jismon ko mukhtalif tareeqon se jawab dainay ka sabab ban sakta hai. misaal ke tor par, aik tehqeeq mein, ziyada tanao walay afraad mein perimenopause ( rajonoorti/menopause ke qareeb ) aik saal ke baad kam tanao walay logon ke muqablay mein cycle tabdeel karne ka ziyada imkaan nahi tha. taham, ziyada tanao do saal ke baad chhootey mahvari se munsalik tha, jis se zahir hota hai ke alamaat fori tor par zahir nahi ho sakteen ."
I have a very stressful life. Does that affect my period pain?,"In short, yes! Painful menstruation has been linked to working in jobs that are low control, are unsecure and have low coworker support. Stress from the preceding month may also affect the frequency of dysmenorrhea, so someone might not experience painful menstruation as a result of stress until their period the following month. Similarly, people experiencing stress earlier in their cycle were more likely to report severe symptoms during the time leading up to and during menstruation.",meri zindagi bohat dabao wali hai. kya yeh mere mahvari ke dard ko mutasir karta hai ?,"mukhtasir mein, haan! takleef da mahvari ko aisi mlazmton mein kaam karne se jora gaya hai jo kam control hain, ghair mehfooz hain aur saathi karkun ki kam himayat haasil hai. pichlle mahinay ka tanao bhi dysmenorrhea ki tadad ko mutasir kar sakta hai, is liye ho sakta hai ke kisi ko tanao ke nateejay mein takleef da mahvari ka saamna nah ho jab tak ke is ki muddat aglay mahinay tak nah ho. isi terhan, jo log –apne chakkar mein pehlay tanao ka saamna karte thay un mein haiz se pehlay aur is ke douran shadeed alamaat ki ittila dainay ka imkaan ziyada hota tha ."
What to do if I get my periods at school,"1. Know that it’s OK—this has happened to most people who menstruate.
2. Get supplies that you feel comfortable using. Schools usually stock their menstrual products in two places: the girls’ bathrooms and the nurse’s office.
If you are in class, ask to be excused. Ask a friend who menstruates if they have an extra pad or tampon you could borrow. If they don’t, grab some small change just in case you need to use a vending machine to purchase supplies. If your teacher asks what’s happening and you don’t feel comfortable discussing your period in front of others, “stomach problems” are a good go-to.
",agar mujhe school mein mahvari aati hai to kya karoon ?,"1. jaan len ke yeh theek hai - yeh ziyada tar logon ke sath sun-hwa hai jinhein mahvari aati hai .
 2. woh samaan haasil karen jin ke istemaal mein aap ko aaraam mehsoos ho. school aam tor par apni mahvari ki masnoaat ko do jaghon par rakhtay hain : larkiyon ke baath room aur nurse ke daftar .
 agar aap class mein hain to maffi mangeen. haiz anay walay dost se poucheen ke kya un ke paas koi izafi pad  hai jisay aap udhaar le satke hain. agar woh aisa nahi karte hain, sirf is soorat mein kuch choti tabdeeli len jab aap ko samaan kharidne ke liye vending machine istemaal karne ki zaroorat ho. agar aap ka ustaad puchta hai ke kya ho raha hai aur aap doosron ke samnay apni muddat ke baray mein baat karne mein aaraam mehsoos nahi karte hain, to"" pait ke masail"" aik achi baat hai ."
I don't how to prepare myself if I get them at school,"Before your next period comes, stock up on whatever collection methods you use and make sure you have a few spare pads or tampons in each backpack and purse that you take with you most often. If you use non-disposables like period panties, or washable cotton pads to manage your bleeding, remember to also bring a resealable bag or container you can store used ones in with you in case you would need to change them during the day. An extra precaution against ruining your day’s choice of bottoms is to keep a spare pair of underwear stashed away in your backpack too.",mein nahi jaanta ke agar mein inhen school mein haasil karoon to khud ko kaisay tayyar karoon,"aap ki agli haiz anay se pehlay, aap jo bhi jama karne ke tareeqay istemaal karte hain un ka zakheera karen aur is baat ko yakeeni banayen ke aap ke paas har aik bag aur purse mein kuch spear pad hain jo aap aksar –apne sath le jatay hain. agar aap –apne khoon ke bahao ko munazzam karne ke liye nan dspoz able jaisay period panties, ya dhoney ke qabil cotton pad istemaal karte hain, to yaad rakhen ke dobarah qabil istemaal bag ya container bhi sath layein jo aap istemaal shuda cheezon ko –apne sath rakh satke hain agar aap ko din ke waqt inhen tabdeel karna parre. –apne din ke time ke intikhab ko barbaad karne ke khilaaf aik izafi ahthyat yeh hai ke underwear ka aik izafi jora bhi –apne bag mein chhupa kar rakhen ."
What should I do if my classmate gets their period,"Be kind and helpful to friends and classmates who end up in a similar predicament. Offer a tampon or pad and help normalize periods and menstrual health in your group of friends.

If you see blood on someone else’s pants or skirt, let them know discretely about the situation. If it is their first period, take them to the nurse or bathroom and lend them some period supplies if needed. You are in this together, so look out for each other!",agar mere hum jamaat ko mahvari aati hai to mujhe kya karna chahiye ?,"un doston aur hum jamaat ke sath meharban aur madadgaar banin jo isi terhan ki pareshani mein khatam hotay hain. aik pad paish karen aur –apne doston ke group mein mahvari aur sehat ko mamool par laane mein madad karen .
 
 agar aap kisi aur ki patlon ya skirt par khoon dekhte hain, to inhen sorat e haal ke baray mein ahthyat se bitayen. agar yeh un ki pehli mahvari hai, to inhen nurse ya baath room le jayen aur zaroorat parney par inhen kuch muddat ka samaan udhaar den. aap is mein aik sath hain, lehaza aik dosray ka khayaal rakhen !"
What to do if I see stains on my clothes,"If you notice period stains on your clothing, pre-wash them with cold water and soap as soon as you can—either still in school or once you get home for the day. Blood is a hard substance to clean off many textiles after it dries, so quick action gives you better chances of getting the stain out completely. However, if a garment remains stained, don’t worry about it too much. Many people have a few pairs of battle-worn “period panties.” These undergarments may be dotted with lighter spots from discharge or dark splatters of blood that just aren’t going away, but they are comfortable and a perfect choice for heavier flow days or days when you expect that your period may start.",agar mein apne kapron par daagh daikhon to kya karoon ?,"agar aap ko –apne kapron par mahvari ke daagh nazar atay hain, to jitni jaldi ho sakay inhen thanday pani aur sabun se pehlay se dho len. khoon aik sakht madah/fluid hai jo bohat se textile ko khushk karne ke baad saaf karta hai, is liye fori karwai aap ko daagh ko mukammal tor par khatam karne ke behtar imkanaat faraham karti hai. taham, agar libaas par daagh rehta hai, to is ke baray mein ziyada fikar nah karen. bohat se logon ke paas jung mein pehnay hue"" period panties"" ke chand jore hotay hain. un zair jaamon par kharij honay walay halkay dhabbon ya khoon ke gehray dhabbay ho satke hain jo abhi khatam nahi ho rahay hain, lekin yeh aaraam da hain aur bohat ziyada bahao walay dinon ya dinon ke liye behtareen intikhab hain jab aap tawaqqa karte hain ke aap ki mahvari shuru ho sakti hai ."
